x,temperature{thickness:5;stroke:yellow}
-125360,2.44
-125310,2.44
-125260,2.33
-125210,2.22
-125159,2.13
-125108,2.04
-125057,2.05
-125006,2.06
-124955,2.07
-124904,1.73
-124851,1.41
-124799,2.07
-124749,2.74
-124700,2.5
-124650,1.93
-124598,1.61
-124545,1.26
-124491,0.9
-124436,0.93
-124381,0.97
-124327,1
-124272,1.03
-124217,0.53
-124160,0.17
-124103,0.28
-124046,0.38
-123989,0.47
-123933,0.55
-123877,0.61
-123821,0.53
-123765,0.45
-123708,0.43
-123653,0.76
-123598,1.11
-123544,1.07
-123490,1.02
-123435,0.82
-123380,0.61
-123325,0.92
-123271,1.22
-123217,0.95
-123162,0.69
-123107,0.47
-123050,0.24
-122993,0.04
-122935,-0.14
-122877,0.27
-122821,0.65
-122765,0.6
-122710,0.6
-122654,0.62
-122599,0.65
-122544,0.62
-122488,0.58
-122432,0.5
-122376,0.4
-122320,0.5
-122265,0.6
-122209,0.6
-122154,0.59
-122100,1.24
-122046,1.07
-121991,0.4
-121936,0.51
-121880,0.62
